,S/T name,GCCSA name,SA4 name,SA3 name,SA2 name,population,Area (km^2),Population density persons/km2
1,Tasmania,Greater Hobart,Hobart,Brighton,Bridgewater - Gagebrook,7543.0,55.7,135.3
2,Tasmania,Greater Hobart,Hobart,Brighton,Brighton - Pontville,6213.0,88.8,70.0
3,Tasmania,Greater Hobart,Hobart,Brighton,Old Beach - Otago,4975.0,31.6,157.6
4,Tasmania,Greater Hobart,Hobart,Hobart - North East,Bellerive - Rosny,6092.0,4.7,1291.2
5,Tasmania,Greater Hobart,Hobart,Hobart - North East,Cambridge,8367.0,101.7,82.3
6,Tasmania,Greater Hobart,Hobart,Hobart - North East,Geilston Bay - Risdon,3314.0,8.7,380.3
7,Tasmania,Greater Hobart,Hobart,Hobart - North East,Howrah - Tranmere,11295.0,9.4,1200.1
8,Tasmania,Greater Hobart,Hobart,Hobart - North East,Lindisfarne - Rose Bay,7549.0,8.0,943.9
9,Tasmania,Greater Hobart,Hobart,Hobart - North East,Mornington - Warrane,4812.0,8.2,585.8
10,Tasmania,Greater Hobart,Hobart,Hobart - North East,Risdon Vale,3432.0,35.5,96.7
11,Tasmania,Greater Hobart,Hobart,Hobart - North East,Rokeby,6971.0,15.4,452.0
12,Tasmania,Greater Hobart,Hobart,Hobart - North East,South Arm,4570.0,74.3,61.5
13,Tasmania,Greater Hobart,Hobart,Hobart - North West,Austins Ferry - Granton,4238.0,27.4,154.9
14,Tasmania,Greater Hobart,Hobart,Hobart - North West,Berriedale - Chigwell,5654.0,34.0,166.1
15,Tasmania,Greater Hobart,Hobart,Hobart - North West,Claremont (Tas.),8046.0,17.9,448.9
16,Tasmania,Greater Hobart,Hobart,Hobart - North West,Derwent Park - Lutana,4241.0,4.9,862.1
17,Tasmania,Greater Hobart,Hobart,Hobart - North West,Glenorchy,11646.0,10.5,1113.4
18,Tasmania,Greater Hobart,Hobart,Hobart - North West,Montrose - Rosetta,5039.0,5.7,879.0
19,Tasmania,Greater Hobart,Hobart,Hobart - North West,Moonah,5365.0,2.8,1920.2
20,Tasmania,Greater Hobart,Hobart,Hobart - North West,New Norfolk,6949.0,63.3,109.8
21,Tasmania,Greater Hobart,Hobart,Hobart - North West,West Moonah,4044.0,1.8,2281.4
22,Tasmania,Greater Hobart,Hobart,Hobart - South and West,Kingston - Huntingfield,12129.0,61.8,196.2
23,Tasmania,Greater Hobart,Hobart,Hobart - South and West,Kingston Beach - Blackmans Bay,11183.0,22.3,502.1
24,Tasmania,Greater Hobart,Hobart,Hobart - South and West,Margate - Snug,8319.0,146.2,56.9
25,Tasmania,Greater Hobart,Hobart,Hobart - South and West,Mount Wellington,0.0,90.2,0.0
26,Tasmania,Greater Hobart,Hobart,Hobart - South and West,Taroona - Bonnet Hill,3724.0,8.0,464.5
27,Tasmania,Greater Hobart,Hobart,Hobart Inner,Hobart,8977.0,6.6,1356.9
28,Tasmania,Greater Hobart,Hobart,Hobart Inner,Lenah Valley - Mount Stuart,8888.0,9.8,906.1
29,Tasmania,Greater Hobart,Hobart,Hobart Inner,Mount Nelson - Dynnyrne,5338.0,7.9,673.8
30,Tasmania,Greater Hobart,Hobart,Hobart Inner,New Town,6339.0,3.8,1658.6
31,Tasmania,Greater Hobart,Hobart,Hobart Inner,Sandy Bay,12905.0,6.9,1857.8
32,Tasmania,Greater Hobart,Hobart,Hobart Inner,South Hobart - Fern Tree,6594.0,23.5,280.7
33,Tasmania,Greater Hobart,Hobart,Hobart Inner,West Hobart,6320.0,3.6,1744.4
34,Tasmania,Greater Hobart,Hobart,Sorell - Dodges Ferry,Dodges Ferry - Lewisham,8244.0,318.4,25.9
35,Tasmania,Greater Hobart,Hobart,Sorell - Dodges Ferry,Sorell - Richmond,9519.0,375.9,25.3
36,Tasmania,Rest of Tas.,Launceston and North East,Launceston,Invermay,3235.0,4.0,803.1
37,Tasmania,Rest of Tas.,Launceston and North East,Launceston,Kings Meadows - Punchbowl,4656.0,5.8,808.5
38,Tasmania,Rest of Tas.,Launceston and North East,Launceston,Launceston,5354.0,5.3,1014.0
39,Tasmania,Rest of Tas.,Launceston and North East,Launceston,Legana,4491.0,33.7,133.3
40,Tasmania,Rest of Tas.,Launceston and North East,Launceston,Mowbray,4070.0,9.3,438.5
41,Tasmania,Rest of Tas.,Launceston and North East,Launceston,Newnham - Mayfield,10038.0,23.6,425.5
42,Tasmania,Rest of Tas.,Launceston and North East,Launceston,Newstead,5570.0,3.7,1510.5
43,Tasmania,Rest of Tas.,Launceston and North East,Launceston,Norwood (Tas.),3979.0,4.0,998.5
44,Tasmania,Rest of Tas.,Launceston and North East,Launceston,Prospect Vale - Blackstone,6626.0,17.7,373.4
45,Tasmania,Rest of Tas.,Launceston and North East,Launceston,Ravenswood,3560.0,10.0,355.5
46,Tasmania,Rest of Tas.,Launceston and North East,Launceston,Riverside,6887.0,48.3,142.5
47,Tasmania,Rest of Tas.,Launceston and North East,Launceston,South Launceston,4852.0,2.8,1747.7
48,Tasmania,Rest of Tas.,Launceston and North East,Launceston,Summerhill - Prospect,4952.0,8.8,562.3
49,Tasmania,Rest of Tas.,Launceston and North East,Launceston,Trevallyn,4729.0,9.7,486.6
50,Tasmania,Rest of Tas.,Launceston and North East,Launceston,Waverley - St Leonards,3659.0,55.1,66.4
51,Tasmania,Rest of Tas.,Launceston and North East,Launceston,West Launceston,4269.0,4.0,1076.9
52,Tasmania,Rest of Tas.,Launceston and North East,Launceston,Youngtown - Relbia,4691.0,14.9,314.2
53,Tasmania,Rest of Tas.,Launceston and North East,Meander Valley - West Tamar,Beauty Point - Beaconsfield,3889.0,259.2,15.0
